m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,ticker_type,active_ticker_flag,comp_url,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,per_end_month_nbr,mr_split_date,mr_split_factor,comp_cik,country_code,country_name,comp_type,optionable_flag,sp500_member_flag,asset_type
SRE,SRL.3,SCEPTRE RES,SCEPTRE RES,,,,N,,,,,,,,,,12,,,,,,,,,
SRLN,SRLN,SPDR-BS GSO SL,SPDR Blackstone / GSO Senior Loan ETF,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
SRLP,SRLP,SPRAGUE RESRCS,Sprague Resources LP,NYSE,USD,S,Y,http://www.spragueenergy.com,5171,Petroleum bulk stations & terminals,220,Oil Refining & Marketing MLP,12,Oils/Energy,43,OIL-MISC,12,,,0001525287,US,UNITED STATES,6,Y,N,MLP
SRLS,SRLS,SERACARE LIFE,SERACARE LIFE,,,,N,,,,,,,,,,9,,,,,,,,,
#SMX,SRLX,SUMMA RX LABS,SUMMA RX LABS,,,,N,,,,,,,,,,4,,,,,,,,,
SES1,SRM,SENSORMATIC ELE,SENSORMATIC ELE,,,,N,,,,,,,,,,6,,,,,,,,,
SRMC,SRMC,SIERRA MONITOR,Sierra Monitor Corp.,OTC,USD,S,Y,http://www.sierramonitor.com,3829,"Measuring & controlling devices, not elsewhere classified",51,ELEC MSRNG INST,10,Computer and Technology,34,ELECTRONICS,12,,,0000100625,US,UNITED STATES,1,N,N,COM
IRC&,SRMX,SADDLE RANCH,Interline Resources Corp.,OTC,USD,S,Y,http://www.interlineresources.com,1311,Crude petroleum & natural gas,122,MOVIE/TV PRD&DIST,2,Consumer Discretionary,10,MEDIA,12,2014-12-03,5.0,0000841533,US,UNITED STATES,1,N,N,COM
SMEX,SRMX.,SEARS DE MEXICO,SEARS DE MEXICO,,,,N,,,,,,,,,,12,,,,,,,,,
SRN2,SRNA,SURNA INC,SURNA INC,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
SRNA,SRNA.,SERENA SOFTWARE,SERENA SOFTWARE,,,,N,,,,,,,,,,1,,,,,,,,,
SRNE,SRNE,SORRENTO THERAP,"Sorrento Therapeutics, Inc.",NSDQ,USD,S,Y,http://www.sorrentotherapeutics.com,8731,Commercial physical research,105,MED-BIOMED/GENE,4,Medical,15,DRUGS,12,,,0000850261,US,UNITED STATES,1,Y,N,COM
SRN,SRNN,SOUTHERN BANC,Southern Banc Co.,OTC,USD,S,Y,http://www.sobanco.com,6035,Federal savings institutions,67,FIN-SVGS & LOAN,13,Finance,47,BANKS & THRIFTS,6,,,0000946453,US,UNITED STATES,2,N,N,COM
SRNW,SRNW,STRATOS RENEWAB,STRATOS RENEWAB,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
SRO,SRO.1,SOUTHLAND ROYTY,SOUTHLAND ROYTY,,,,N,,,,,,,,,,12,,,,,,,,,
AVII,SRPT,SAREPTA THERAP,"Sarepta Therapeutics, Inc.",NSDQ,USD,S,Y,http://www.sareptatherapeutics.com,2834,Pharmaceutical preparations,105,MED-BIOMED/GENE,4,Medical,15,DRUGS,12,2012-07-12,0.17,0000873303,US,UNITED STATES,1,Y,N,COM
GSR,SRR,STRIDE RITE COR,STRIDE RITE COR,,,,N,,,,,,,,,,11,,,,,,,,,
DNAI,SRRA,SIERRA ONCOLOGY,"ProNAi Therapeutics, Inc.",NSDQ,USD,S,Y,http://www.pronai.com,2834,Pharmaceutical preparations,106,MED-DRUGS,4,Medical,15,DRUGS,12,,,0001290149,CA,CANADA,1,N,N,COM
SRR#,SRRE,SUNRISE RE GP,SUNRISE RE GP,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
#NQR,SRRIF,SYNERGY RENEW,SYNERGY RENEW,,,,N,,,,,,,,,,12,,,,,,,,,
SSRY,SRRY,SANCON RESOURCS,Sancon Resources Recovery Inc.,OTC,USD,S,Y,http://www.sanconinc.com,4953,Refuse systems,143,POLLUTION CNTRL,7,Industrial Products,27,POLLUTION CNTRL,12,,,0001288195,CN,CHINA,1,N,N,COM
